"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R17";"R_Bourns_CRE2512";2;"2m";;;
2;"L1";"L-FERYSTER-DTMSS-27";1;"22uH";;;
3;"C16,C40,C32,C30,C9,C10,C11,C13,C17,C18,C29,C31,C34,C19,C25,C26,C39";"C_0603";17;"100n";;;
4;"R44,R23,R27,R29";"R_0603";4;"10K";;;
5;"U2";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F072CB";;;
6;"C23,C12,C22";"C_0603";3;"1u";;;
7;"U5";"SOT-23-5";1;"AP2210-3.3";;;
8;"C38,C33,C36";"C_0603";3;"2.2u";;;
9;"JP2,JP1";"RJ45_8";2;"RJ45_NS";;;
10;"Y1";"Resonator_Murata_CSTCE";1;"CSTCE8M00G15C99-R0";;;
11;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.5mm";25;"VIA-0.5mm";;;
12;"U6";"SOT-23-6";1;"LM2665";;;
13;"U7";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM358";;;
14;"J1";"MKDS_5-2-952";1;"SOLAR";;;
15;"J5";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"TEMP";;;
16;"C4,C5,C14";"C_0805";3;"1u";;;
17;"C6";"C_0805";1;"1n";;;
18;"C7,C8";"C_Radial_D10_L25_P5";2;"820u";;;
19;"C27,C28";"C_0603";2;"4.3p";;;
20;"D6,D8";"LED_0603";2;"LED_SMD";;;
21;"L4";"L_0603";1;"L";;;
22;"LED1,LED2";"LED_D3.0mm";2;"LED";;;
23;"NTC1";"R_0603";1;"10K-NTC";;;
24;"R1,R3,R10";"R_0805";3;"3.3";;;
25;"R7,R8,R12,R13,R18,R19,R41,R34,R35";"R_0603";9;"2.2k";;;
26;"R9";"R_0603";1;"33k";;;
27;"R11,R20";"R_0603";2;"1k";;;
28;"R14,R15,R21,R22";"R_0603";4;"150k";;;
29;"R16,R37";"R_0603";2;"10k";;;
30;"R24,R25";"R_0603";2;"100K";;;
31;"R26";"R_0603";1;"5.6K";;;
32;"R30,R31,R32,R33,R38";"R_0603";5;"0";;;
33;"R39,R40,R2";"R_0603";3;"1M";;;
34;"R42,R43";"R_0603";2;"330";;;
35;"R45";"R_0603";1;"56k";;;
36;"T1,T2";"SOT-23";2;"MMBT3904";;;
37;"C3";"C_1206";1;"2.2u";;;
38;"D1,D5";"D_SOD-123";2;"1N4148W-7-F";;;
39;"C15";"C_1210";1;"4.7u";;;
40;"C20,C21,C24,C37";"C_0805";4;"10u";;;
41;"C35";"C_0603";1;"100p";;;
42;"D2,D7";"D_PowerDI-123";2;"SS16FP";;;
43;"D3";"SOT-23-6";1;"USBLC6-2SC6";;;
44;"D4";"SOT-23";1;"NUP2105L";;;
45;"IC2";"SOT-23";1;"LM4040CYM3-2.5";;;
46;"J4";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"UEXT";;;
47;"JP3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Jumper_NC_Small";;;
48;"R4,R5";"R_1206";2;"4.7";;;
49;"R28";"R_0603";1;"52.3k";;;
50;"R36";"R_1206";1;"120";;;
51;"U4";"SOT-23-6";1;"MCP16331-CH";;;
52;"J2";"MKDS_5-2-952";1;"LOAD";;;
53;"J3";"MKDS_5-2-952";1;"BAT";;;
54;"U8";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"TJA1042T/3";;;
55;"L3";"SELF-WE-TPC_M";1;"22uH";;;
56;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM5107";;;
57;"Y2";"Crystal_SMD_SeikoEpson_MC306-4pin_8.0x3.2mm";1;"ABS25-32.768KHZ-6-T";;;
58;"LOGO2";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OPEN_HARDWARE";;;
59;"F1";"KEYSTONE-FUSE-3557-2";1;"25A";;;
60;"J6";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"Screw_Terminal_1x02";;;
61;"LOGO1";"LIBRESOLAR_LOGO";1;"LIBRE_SOLAR";;;
62;"P1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
63;"SW2";"Rotary_Switch_THT";1;"Rotary_Switch";;;
64;"SWD1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"ST_Nucleo_SWD";;;
65;"C1,C2";"CP_Radial_D16.0mm_P7.50mm";2;"1000u";;;
66;"SW1";"SW_PUSH_6mm";1;"SW_PUSH";;;
67;"P2";"USB_B";1;"USB_B";;;
68;"L2";"L_0805";1;"4.7uH";;;
69;"R46";"R_0603";1;"100k";;;
70;"P3";"Wuerth_USB_Micro_USB_vert_Type_B_614105150721";1;"USB_OTG";;;
71;"Q4,Q1,Q2,Q3";"5X6_MOSFET";4;"CSD18540Q5B";;;
